board;model;result;iteration;microseconds
esp32dev;digits;8;14;3781
esp32dev;digits;8;15;3699
esp32dev;digits;8;16;4075
esp32dev;digits;8;17;3788
esp32dev;digits;8;18;4151
esp32dev;digits;8;19;3781
esp32dev;digits;8;20;3848
esp32dev;digits;8;21;4221
esp32dev;digits;8;22;3804
esp32dev;digits;8;23;4078
esp32dev;digits;8;24;3721
esp32dev;digits;8;25;3684
esp32dev;digits;8;26;4185
esp32dev;digits;8;27;4071
esp32dev;digits;8;28;3951
esp32dev;digits;8;29;3735
esp32dev;digits;8;30;3685
esp32dev;digits;8;31;4192
esp32dev;digits;8;32;4163
esp32dev;digits;8;33;4111
esp32dev;digits;8;34;4159
esp32dev;digits;8;35;4104
esp32dev;digits;8;36;4157
esp32dev;digits;8;37;5204
esp32dev;digits;8;38;4096
esp32dev;digits;8;39;4101
esp32dev;digits;8;40;4096
esp32dev;digits;8;41;4191
esp32dev;digits;8;42;4096
esp32dev;digits;8;43;4100
esp32dev;digits;8;44;4096
esp32dev;digits;8;45;4099
esp32dev;digits;8;46;4097
esp32dev;digits;8;47;3934
esp32dev;digits;8;48;3694
esp32dev;digits;8;49;3842
esp32dev;digits;8;50;3790
esp32dev;digits;8;51;4182
esp32dev;digits;8;52;3781
esp32dev;digits;8;53;3699
esp32dev;digits;8;54;3691
esp32dev;digits;8;55;4091
esp32dev;digits;8;56;4093
esp32dev;digits;8;57;4105
esp32dev;digits;8;58;5111
esp32dev;digits;8;59;4100
esp32dev;digits;8;60;4092
esp32dev;digits;8;61;4186
esp32dev;digits;8;62;4743
esp32dev;digits;8;63;4113
Average;;;;4051,34
