board;model;result;iteration;microseconds
esp32dev;wine;0;78;776
esp32dev;wine;1;79;820
esp32dev;wine;1;80;776
esp32dev;wine;2;81;864
esp32dev;wine;2;82;599
esp32dev;wine;2;83;543
esp32dev;wine;0;84;638
esp32dev;wine;0;85;543
esp32dev;wine;2;86;780
esp32dev;wine;0;87;780
esp32dev;wine;0;88;777
esp32dev;wine;1;89;820
esp32dev;wine;1;90;776
esp32dev;wine;2;91;907
esp32dev;wine;2;92;780
esp32dev;wine;2;93;820
esp32dev;wine;0;94;776
esp32dev;wine;0;95;781
esp32dev;wine;2;96;777
esp32dev;wine;0;97;1461
esp32dev;wine;0;98;800
esp32dev;wine;1;99;780
esp32dev;wine;1;100;777
esp32dev;wine;2;101;864
esp32dev;wine;2;102;824
esp32dev;wine;2;103;777
esp32dev;wine;0;104;780
esp32dev;wine;0;105;777
esp32dev;wine;2;106;781
esp32dev;wine;0;107;820
esp32dev;wine;0;108;777
esp32dev;wine;1;109;1242
esp32dev;wine;1;110;776
esp32dev;wine;2;111;903
esp32dev;wine;2;112;599
esp32dev;wine;2;113;543
esp32dev;wine;0;114;544
esp32dev;wine;0;115;543
esp32dev;wine;2;116;638
esp32dev;wine;0;117;579
esp32dev;wine;0;118;547
esp32dev;wine;1;119;639
esp32dev;wine;1;120;543
esp32dev;wine;2;121;872
esp32dev;wine;2;122;777
esp32dev;wine;2;123;781
esp32dev;wine;0;124;820
esp32dev;wine;0;125;776
esp32dev;wine;2;126;780
esp32dev;wine;0;127;776
Average;;;;764,58
