board,model,result,iteration,microseconds
esp32wemos,digits,8,51,3382
esp32wemos,digits,8,52,3166
esp32wemos,digits,8,53,3167
esp32wemos,digits,8,54,3162
esp32wemos,digits,8,55,3164
esp32wemos,digits,8,56,3333
esp32wemos,digits,8,57,3192
esp32wemos,digits,8,58,3162
esp32wemos,digits,8,59,3174
esp32wemos,digits,8,60,3164
esp32wemos,digits,8,61,3388
esp32wemos,digits,8,62,3165
esp32wemos,digits,8,63,3166
esp32wemos,digits,8,64,3163
esp32wemos,digits,8,65,3246
esp32wemos,digits,8,66,3163
esp32wemos,digits,8,67,3296
esp32wemos,digits,8,68,3165
esp32wemos,digits,8,69,3166
esp32wemos,digits,8,70,3163
esp32wemos,digits,8,71,3388
esp32wemos,digits,8,72,3165
esp32wemos,digits,8,1,4119
esp32wemos,digits,8,2,3362
esp32wemos,digits,8,3,3213
esp32wemos,digits,8,4,3243
esp32wemos,digits,8,5,3169
esp32wemos,digits,8,6,3242
esp32wemos,digits,8,7,3167
esp32wemos,digits,8,8,3274
esp32wemos,digits,8,9,3187
esp32wemos,digits,8,10,3239
esp32wemos,digits,8,11,3392
esp32wemos,digits,8,12,3310
esp32wemos,digits,8,13,3173
esp32wemos,digits,8,14,3246
esp32wemos,digits,8,15,3177
esp32wemos,digits,8,16,3323
esp32wemos,digits,8,17,3359
esp32wemos,digits,8,18,3282
esp32wemos,digits,8,19,3172
esp32wemos,digits,8,20,3236
esp32wemos,digits,8,21,3388
esp32wemos,digits,8,22,3165
esp32wemos,digits,8,23,3170
esp32wemos,digits,8,24,3163
esp32wemos,digits,8,25,3167
esp32wemos,digits,8,26,3162
esp32wemos,digits,8,27,3187
esp32wemos,digits,8,28,3161
