board;model;result;iteration;microseconds
esp32wemos;sin;1.88;67;56
esp32wemos;sin;2.2;68;35
esp32wemos;sin;2.51;69;37
esp32wemos;sin;2.83;70;36
esp32wemos;sin;0.0;71;61
esp32wemos;sin;0.31;72;37
esp32wemos;sin;0.63;73;35
esp32wemos;sin;0.94;74;37
esp32wemos;sin;1.26;75;35
esp32wemos;sin;1.57;76;37
esp32wemos;sin;1.88;77;37
esp32wemos;sin;2.2;78;35
esp32wemos;sin;2.51;79;38
esp32wemos;sin;2.83;80;35
esp32wemos;sin;0.0;81;61
esp32wemos;sin;0.31;82;37
esp32wemos;sin;0.63;83;36
esp32wemos;sin;0.94;84;38
esp32wemos;sin;1.26;85;35
esp32wemos;sin;1.57;86;38
esp32wemos;sin;1.88;87;37
esp32wemos;sin;2.2;88;36
esp32wemos;sin;2.51;89;37
esp32wemos;sin;2.83;90;35
esp32wemos;sin;0.0;91;61
esp32wemos;sin;0.31;92;42
esp32wemos;sin;0.63;93;35
esp32wemos;sin;0.94;94;37
esp32wemos;sin;1.26;95;35
esp32wemos;sin;1.57;96;37
esp32wemos;sin;1.88;97;37
esp32wemos;sin;2.2;98;35
esp32wemos;sin;2.51;99;37
esp32wemos;sin;2.83;100;35
esp32wemos;sin;0.0;101;61
esp32wemos;sin;0.31;102;37
esp32wemos;sin;0.63;103;45
esp32wemos;sin;0.94;104;45
esp32wemos;sin;1.26;105;35
esp32wemos;sin;1.57;106;37
esp32wemos;sin;1.88;107;38
esp32wemos;sin;2.2;108;35
esp32wemos;sin;2.51;109;38
esp32wemos;sin;2.83;110;36
esp32wemos;sin;0.0;111;61
esp32wemos;sin;0.0;1;181
esp32wemos;sin;0.31;2;57
esp32wemos;sin;0.63;3;56
esp32wemos;sin;0.94;4;53
esp32wemos;sin;1.26;5;51
Average;;;;43,96
