board;model;result;iteration;microseconds
esp32wemos;wine;0;6;476
esp32wemos;wine;2;0;1265
esp32wemos;wine;2;1;504
esp32wemos;wine;2;2;478
esp32wemos;wine;0;3;471
esp32wemos;wine;0;4;512
esp32wemos;wine;2;5;472
esp32wemos;wine;0;6;478
esp32wemos;wine;0;7;471
esp32wemos;wine;1;8;478
esp32wemos;wine;1;9;506
esp32wemos;wine;2;0;546
esp32wemos;wine;2;1;331
esp32wemos;wine;2;2;378
esp32wemos;wine;0;3;311
esp32wemos;wine;0;4;307
esp32wemos;wine;2;5;307
esp32wemos;wine;0;6;528
esp32wemos;wine;0;7;477
esp32wemos;wine;1;8;471
esp32wemos;wine;1;9;478
esp32wemos;wine;2;1;1272
esp32wemos;wine;2;2;447
esp32wemos;wine;2;3;365
esp32wemos;wine;0;4;366
esp32wemos;wine;0;5;366
esp32wemos;wine;2;6;366
esp32wemos;wine;0;7;421
esp32wemos;wine;0;8;384
esp32wemos;wine;1;9;368
esp32wemos;wine;1;10;366
esp32wemos;wine;2;11;534
esp32wemos;wine;2;12;366
esp32wemos;wine;2;13;366
esp32wemos;wine;0;14;366
esp32wemos;wine;0;15;366
esp32wemos;wine;2;16;420
esp32wemos;wine;0;17;384
esp32wemos;wine;0;18;368
esp32wemos;wine;1;19;365
esp32wemos;wine;1;20;421
esp32wemos;wine;2;21;538
esp32wemos;wine;2;22;366
esp32wemos;wine;2;23;365
esp32wemos;wine;0;24;366
esp32wemos;wine;0;25;580
esp32wemos;wine;2;26;488
esp32wemos;wine;0;27;485
esp32wemos;wine;0;28;531
esp32wemos;wine;1;29;490
Average;;;;462,62
