board;model;result;iteration;microseconds
esp8266;digits;8;157;20875
esp8266;digits;8;1;20959
esp8266;digits;8;2;20779
esp8266;digits;8;3;20716
esp8266;digits;8;4;20826
esp8266;digits;8;5;20858
esp8266;digits;8;1;20954
esp8266;digits;8;2;20619
esp8266;digits;8;3;20804
esp8266;digits;8;4;20859
esp8266;digits;8;5;20690
esp8266;digits;8;6;20706
esp8266;digits;8;7;20851
esp8266;digits;8;8;20831
esp8266;digits;8;9;20738
esp8266;digits;8;10;20856
esp8266;digits;8;11;20878
esp8266;digits;8;12;20852
esp8266;digits;8;13;20721
esp8266;digits;8;14;20879
esp8266;digits;8;15;20832
esp8266;digits;8;16;20710
esp8266;digits;8;17;20753
esp8266;digits;8;18;20820
esp8266;digits;8;19;20733
esp8266;digits;8;20;20639
esp8266;digits;8;21;20958
esp8266;digits;8;22;20953
esp8266;digits;8;23;20958
esp8266;digits;8;24;20564
esp8266;digits;8;25;20521
esp8266;digits;8;26;20812
esp8266;digits;8;27;20796
esp8266;digits;8;28;20808
esp8266;digits;8;29;20824
esp8266;digits;8;30;20804
esp8266;digits;8;31;20954
esp8266;digits;8;32;20958
esp8266;digits;8;33;20580
esp8266;digits;8;34;20784
esp8266;digits;8;35;20835
esp8266;digits;8;36;20646
esp8266;digits;8;37;20891
esp8266;digits;8;38;20780
esp8266;digits;8;39;20745
esp8266;digits;8;40;20674
esp8266;digits;8;41;20956
esp8266;digits;8;42;20950
esp8266;digits;8;43;20828
esp8266;digits;8;44;20804
Average;;;;20802,42
