board,model,result,iteration,microseconds
esp32dev,sin,0.0,51,118
esp32dev,sin,0.31,52,46
esp32dev,sin,0.63,53,91
esp32dev,sin,0.94,54,62
esp32dev,sin,1.26,55,59
esp32dev,sin,1.57,56,95
esp32dev,sin,1.88,57,63
esp32dev,sin,2.2,58,46
esp32dev,sin,2.51,59,47
esp32dev,sin,2.83,60,59
esp32dev,sin,0.0,61,118
esp32dev,sin,0.31,62,102
esp32dev,sin,0.63,63,106
esp32dev,sin,0.94,64,102
esp32dev,sin,1.26,65,106
esp32dev,sin,1.57,66,102
esp32dev,sin,1.88,67,106
esp32dev,sin,2.2,68,102
esp32dev,sin,2.51,69,106
esp32dev,sin,2.83,70,103
esp32dev,sin,0.0,71,118
esp32dev,sin,0.31,72,47
esp32dev,sin,0.63,73,47
esp32dev,sin,0.94,74,47
esp32dev,sin,1.26,75,90
esp32dev,sin,1.57,76,66
esp32dev,sin,1.88,77,47
esp32dev,sin,2.2,78,47
esp32dev,sin,2.51,79,46
esp32dev,sin,2.83,80,59
esp32dev,sin,0.0,81,118
esp32dev,sin,0.31,82,121
esp32dev,sin,0.63,83,106
esp32dev,sin,0.94,84,102
esp32dev,sin,1.26,85,106
esp32dev,sin,1.57,86,102
esp32dev,sin,1.88,87,106
esp32dev,sin,2.2,88,103
esp32dev,sin,2.51,89,106
esp32dev,sin,2.83,90,90
esp32dev,sin,0.0,91,114
esp32dev,sin,0.31,92,102
esp32dev,sin,0.63,93,106
esp32dev,sin,0.94,94,102
esp32dev,sin,1.26,95,106
esp32dev,sin,1.57,96,106
esp32dev,sin,1.88,97,106
esp32dev,sin,2.2,98,102
esp32dev,sin,2.51,99,106
esp32dev,sin,2.83,100,102
