board,model,result,iteration,microseconds
esp8266,sin,0.0,1,548
esp8266,sin,0.31,2,501
esp8266,sin,0.63,3,451
esp8266,sin,0.94,4,450
esp8266,sin,1.26,5,474
esp8266,sin,1.57,6,460
esp8266,sin,1.88,7,464
esp8266,sin,2.2,8,484
esp8266,sin,2.51,9,476
esp8266,sin,2.83,10,478
esp8266,sin,0.0,11,496
esp8266,sin,0.31,12,382
esp8266,sin,0.63,13,407
esp8266,sin,0.94,14,441
esp8266,sin,1.26,15,482
esp8266,sin,1.57,16,448
esp8266,sin,1.88,17,483
esp8266,sin,2.2,18,523
esp8266,sin,2.51,19,448
esp8266,sin,2.83,20,494
esp8266,sin,0.0,21,548
esp8266,sin,0.31,22,579
esp8266,sin,0.63,23,459
esp8266,sin,0.94,24,473
esp8266,sin,1.26,25,474
esp8266,sin,1.57,26,495
esp8266,sin,1.88,27,499
esp8266,sin,2.2,28,480
esp8266,sin,2.51,29,491
esp8266,sin,2.83,30,482
esp8266,sin,0.0,31,547
esp8266,sin,0.31,32,575
esp8266,sin,0.63,33,431
esp8266,sin,0.94,34,454
esp8266,sin,1.26,35,458
esp8266,sin,1.57,36,472
esp8266,sin,1.88,37,530
esp8266,sin,2.2,38,456
esp8266,sin,2.51,39,436
esp8266,sin,2.83,40,459
esp8266,sin,0.0,41,559
esp8266,sin,0.31,42,508
esp8266,sin,0.63,43,466
esp8266,sin,0.94,44,500
esp8266,sin,1.26,45,510
esp8266,sin,1.57,46,590
esp8266,sin,1.88,47,486
esp8266,sin,2.2,48,504
esp8266,sin,2.51,49,586
esp8266,sin,2.83,50,585
